num_bedrooms,num_bathrooms,square_footage,lot_size,age_of_house,proximity_to_city_center,neighborhood_quality,house_price
1,2,1874,2996,2,14,4,366800.0307895191
3,2,2516,5381,23,19,4,438029.9871148566
1,2,2083,8680,0,19,4,410131.52503194986
2,2,1390,1429,5,12,2,415309.5856536133
2,2,3467,6700,18,9,9,543451.692952579
4,1,2786,4781,85,14,1,387480.9103601393
5,2,3433,9794,42,6,8,683592.4657501788
1,2,1801,9631,7,15,6,428535.8469818862
1,3,3031,6468,68,13,10,494733.2839762902
3,1,1846,5507,51,7,7,426542.7066055958
2,1,2976,1527,72,11,5,396900.76175183605
5,1,3138,3996,46,10,6,548692.1141904893
4,1,2655,4467,84,1,6,485703.63106642565
2,2,1300,2361,27,7,9,408218.75935815234
4,2,3033,7817,45,18,10,537338.5360309101
3,3,1278,1703,3,3,4,524866.2049896107
3,3,2394,1662,87,9,5,444165.3366390124
1,1,3339,9556,7,5,4,537975.2728393344
5,3,1312,7256,60,13,1,436843.522855738
4,3,3314,9367,16,16,10,608683.3067603009
2,1,3132,6297,33,16,6,484431.47533079307
3,1,1400,9573,19,12,5,435027.15351669746
1,3,2240,6378,79,18,4,366179.97081068496
1,2,1923,1305,73,11,6,325356.7957219857
4,3,988,6497,33,17,5,456859.9072403626
3,3,1788,5697,42,7,3,486213.231888605
5,2,2681,3390,9,15,2,527464.1786089134
3,2,1187,8222,93,6,6,380842.94785475545
4,1,3088,8933,29,6,4,551048.7792821847
4,1,2605,2465,24,18,10,528927.2786809561
3,3,2833,8852,56,19,3,453070.25049841334
4,2,2554,1402,62,19,8,479933.0684526941
3,1,3264,7940,70,2,9,582326.1476913226
2,3,3023,3670,46,3,7,524948.833665702
3,2,1186,9095,83,14,2,304708.1094759965
3,3,2294,9368,80,4,8,521865.52996569395
4,1,1652,5544,2,17,5,443988.42102825333
4,1,1251,9934,45,6,10,526998.1603289037
1,2,3124,6660,35,19,7,409317.5402585298
1,3,2558,7074,25,9,5,494631.546854442
2,2,1012,3348,9,4,2,435484.30273866915
1,1,840,7850,33,7,4,337557.6241065572
3,1,1945,5402,77,4,5,427974.4031395326
4,3,3141,1750,7,11,6,571111.3374692461
1,3,1399,5062,54,2,5,397569.4775256483
1,3,2824,8434,90,10,10,456293.5829838579
2,2,3388,9405,9,6,1,554688.5016959483
2,3,2830,2617,56,8,1,431554.2303547306
3,3,2582,3530,78,15,3,383635.6760839998
4,1,2651,4333,85,13,9,481932.8585528001
2,1,3298,8234,44,2,2,506259.2531155569
1,3,2579,6768,49,1,10,534618.7157669602
4,3,3181,8707,63,15,5,563901.3359931747
4,1,2704,1511,94,7,9,510170.71668164746
1,3,2891,6082,1,18,7,455567.78175280365
2,2,943,7860,44,10,8,392944.17969008995
1,2,1132,1252,94,15,2,237011.6570356152
4,2,1797,5133,61,5,5,437594.2690493348
5,3,2219,9820,13,11,9,630818.9184367653
5,1,854,4476,73,8,1,329088.4393186338
3,3,2130,2725,93,8,1,417260.83638911275
1,3,2246,3093,99,6,10,455260.8421197927
1,1,2240,2701,14,15,8,423722.53402287676
3,1,3172,9496,13,15,2,462191.0408911922
3,1,2533,6834,30,5,9,546407.0706153385
3,2,2494,5340,28,13,10,514885.56281213375
4,3,879,3807,26,14,9,453600.61806374835
1,1,1784,7301,84,11,4,303634.42470571474
4,3,3405,8572,8,12,2,595422.6384123024
3,2,1664,2024,19,1,3,476367.354820794
1,2,2387,3975,98,3,10,474542.7481033606
4,1,1271,9698,57,8,1,414788.5134870069
4,1,2921,5856,78,12,3,462085.27034764044
3,3,2376,7724,87,15,5,389748.8362638599
1,1,2302,3567,48,3,3,385672.03674611804
3,3,1388,5587,56,8,3,393551.689739145
1,1,2210,5922,15,19,10,413690.9280094024
5,3,2705,6046,99,6,6,527056.0969019211
2,3,1363,3894,74,18,3,306391.87617355154
2,3,1266,8203,7,11,3,452438.0683093463
2,3,1398,8478,66,12,9,441215.24822514586
3,2,2444,6274,18,2,2,538199.8607245409
5,3,1791,4613,66,5,1,442371.92227460037
1,1,2732,1038,35,4,10,486163.3674153916
4,2,3095,4084,88,9,8,548169.624534915
1,2,2404,7265,59,13,3,405652.3978721789
4,3,866,7598,35,13,7,427391.7902576877
1,2,3420,3415,10,15,2,427457.90909597074
5,3,1269,1758,50,2,8,574579.666850119
4,1,3340,5342,79,13,9,514219.04217971384
3,3,2524,8066,54,7,8,518637.5581457569
1,2,3133,4116,53,17,8,392248.0205375998
1,1,2431,1764,16,8,8,427124.46163342084
4,3,3159,5029,61,18,7,479814.45828590676
3,1,3156,7445,41,15,2,445596.51142085064
3,1,1574,8443,23,15,8,468436.7546444665
5,2,1936,2317,16,5,5,521226.6310272849
3,1,2811,1700,47,2,6,515093.2435302763
3,2,3303,8527,83,16,4,468862.77573614666
3,1,2286,5383,85,5,1,390381.29182879126
2,3,931,2593,69,6,5,335061.64262706885
5,1,1729,5145,6,12,3,495540.2888665626
1,3,1728,7707,13,5,9,500154.82638088823
4,3,2968,7997,10,8,4,588478.3837849787
1,1,2020,8026,11,11,10,445407.0688559884
5,3,2305,3612,4,14,2,534255.685656851
4,1,1433,8399,4,17,4,450592.447711174
5,1,1862,2908,19,10,3,542590.2033583962
3,3,3413,7954,53,2,3,564320.3017096801
4,3,3359,2790,54,3,5,625098.5290003169
3,2,1984,9168,57,13,1,403647.87708567193
1,3,1088,3928,78,17,5,290695.7918088062
1,2,3047,8681,89,3,8,478106.6881927823
4,3,2611,6251,96,10,10,502759.5907576873
4,1,1327,5127,29,8,9,500377.50676880096
5,3,1716,5963,23,4,1,480887.37337946566
5,1,2508,6311,86,13,2,411766.3410527867
3,1,2206,9792,72,7,2,415422.0773283453
4,1,2041,3025,2,7,6,553974.5568294711
1,2,1910,8815,99,16,1,308710.60992495983
5,3,1598,1987,47,5,1,477947.33550897666
5,1,2323,6310,70,17,2,423972.93298826105
1,1,811,2965,21,10,4,343054.06173955067
5,2,1632,8316,13,4,2,500310.66069517704
3,3,3490,1868,47,14,4,513222.68763288757
4,3,2041,3063,28,5,3,497541.67831585475
1,2,2472,2129,49,2,3,416691.373883082
4,2,2953,5378,79,14,9,503308.4187376421
5,3,1490,6154,97,18,8,456845.9531762037
5,2,1327,7256,9,11,10,577875.5918502272
1,3,2295,7451,70,16,9,439379.96693493496
3,3,1692,2934,88,18,1,334106.9707116112
2,1,1186,2076,26,16,5,343819.3442492224
1,1,2049,6200,78,4,4,409400.595010965
2,3,3328,2639,95,1,9,496208.0232450706
2,3,2577,7385,27,14,3,496395.246503231
3,3,1207,9222,8,12,5,462770.45227829006
2,3,2476,8996,70,10,8,495060.2896592076
2,3,1697,1703,79,19,10,377817.50798516
3,3,1510,6480,25,4,5,482376.45926120935
2,2,3486,9424,98,3,9,541686.4298198557
2,3,2482,8777,80,4,2,466484.2077153611
2,2,1717,6362,86,15,6,365761.19887418515
1,2,3050,1950,7,11,5,452797.10533292795
1,3,1216,9250,1,16,9,527833.7515703917
1,3,1215,3818,94,4,7,398168.3417716563
3,2,2271,4600,56,6,8,524683.5576051814
5,2,2335,9493,51,8,7,555404.8942314449
2,3,884,8845,57,13,10,403105.85529277404
2,3,966,3944,95,4,10,408136.0231039265
3,2,3231,7255,92,5,5,523350.1636098121
2,2,3315,8580,2,10,5,514724.8915731043
1,2,1895,9508,7,5,4,424568.90421364206
5,1,1609,6264,58,12,2,434730.68833402544
4,2,2344,8518,1,1,9,644733.911116053
2,1,2616,9122,94,10,10,424908.16155272763
1,3,3320,2178,61,5,10,499253.9105396194
4,3,1792,4855,48,19,10,527112.4248342108
5,2,2081,9523,19,19,10,567544.1106324891
4,3,1074,7037,28,12,3,412722.6034067992
1,3,2573,1527,16,16,3,374890.36159794265
4,3,3337,3059,73,5,3,528989.2006887383
3,3,2556,1211,21,17,8,523754.04517494084
4,1,3173,2714,5,14,6,556667.220052707
2,1,3376,3688,61,12,1,427155.96342503047
2,2,1691,4266,97,13,3,278089.2548134801
3,2,888,6149,30,14,4,388443.1672444914
1,2,3333,2332,61,5,2,463293.75830803404
2,3,1507,7820,11,5,6,526130.0432619025
5,3,3197,6891,11,18,10,648495.7495353172
2,1,1186,5686,62,14,1,343058.4627163469
2,1,2934,5091,15,18,1,412205.1279103965
1,2,3154,1443,24,1,8,559097.6658210335
4,1,2673,1926,21,7,4,514539.1979693877
2,1,1977,7246,90,17,1,266063.6176788928
3,1,1239,1622,87,3,7,372935.76998053136
4,1,3111,4037,75,10,9,527201.3803698604
5,1,1776,1233,17,7,10,555211.4498287449
1,2,1534,3691,44,12,7,329558.358252163
5,2,3268,8402,79,15,1,458961.16037685645
4,1,3340,1386,67,16,1,416197.9106486477
4,2,1432,2634,11,8,1,466683.984398429
4,3,1792,9110,48,6,8,548528.1528459481
5,1,3258,5133,32,4,7,614497.3947374872
4,3,972,6581,85,11,3,363670.1843249171
5,2,803,2967,62,17,3,372630.15200155246
4,2,2463,6568,17,2,3,588831.5256861497
3,3,2815,8284,53,6,2,506491.3778189639
4,2,2295,9432,96,4,4,439363.16046295344
5,1,1860,6145,26,3,7,529146.9301423867
2,3,3430,6767,82,7,9,549520.7219305788
4,1,1854,9753,77,7,3,424351.1131194345
2,3,1180,2999,24,16,10,432132.49424741213
3,2,2091,5901,33,2,7,513934.6456246311
1,3,3191,3779,87,8,4,436472.30530499783
3,3,2392,7192,59,15,1,409653.0571688663
4,1,965,2677,53,16,5,358615.6694567849
2,2,3189,5177,86,1,8,492700.4152084218
2,1,1842,8211,4,10,3,445775.28245356923
5,2,2451,8873,35,7,10,613640.6802095894
2,1,2007,4841,53,16,4,367070.008327994
5,3,1344,8098,87,10,3,414654.21089914953
1,1,3039,7416,35,12,10,522545.0784594652
4,2,3167,5885,68,17,8,544939.3509628306
5,2,3427,1594,38,13,10,565387.0582585268
1,3,3322,3612,69,12,8,447887.56312340713
2,2,3484,7359,99,15,4,424217.8597752471
2,1,3274,2496,3,14,2,415194.7835962749
1,3,896,4555,73,19,3,257175.14794591686
2,2,3343,5861,64,19,3,416398.7946494199
1,2,2101,5766,84,14,4,323729.8522005129
5,1,2856,4358,39,18,2,480344.9675884274
5,1,1256,1914,36,5,2,430208.75238495297
1,3,2618,2844,66,6,3,357327.46144579694
5,2,1072,2995,30,18,1,417137.88280412654
5,1,1831,8625,90,14,8,481820.3663400633
5,3,1007,1094,80,4,6,536222.9160572083
3,2,2737,9684,86,1,3,429722.3370516421
4,2,2460,4069,76,13,1,432977.8027336704
2,3,1946,1149,46,11,3,350529.94654791534
3,3,1856,2046,26,3,1,511850.33204188297
5,1,2336,3803,50,17,3,455405.6708424002
1,2,1003,6334,19,18,4,296353.7788080937
5,2,3365,9590,12,10,6,654525.5618650359
4,2,2632,5476,62,16,7,472201.8748070766
5,3,3364,8276,43,13,7,622538.4024887817
1,1,1242,1551,23,12,9,378902.0179052271
4,2,1488,9486,2,4,8,614462.2034036823
5,3,1632,2143,9,8,4,584402.1477521628
4,2,3186,1455,64,12,6,494733.36566816235
2,1,2261,9360,48,19,1,364582.6404499009
2,2,1959,2946,57,15,8,413659.00388925744
5,1,1186,7115,76,16,6,369327.9483248272
4,1,2841,8310,77,12,2,422574.2904906955
1,2,3353,7180,96,18,8,461593.6524899906
5,2,2148,6817,1,12,4,555797.3600276164
2,1,2518,6380,65,16,9,445034.48948793806
2,3,1479,7374,30,11,4,415770.89219082525
5,1,1489,9445,67,14,1,382286.4521320165
4,2,2368,9070,97,2,7,519291.61269086186
2,2,3470,2320,82,13,10,476807.39861884457
4,3,1969,8123,36,14,5,459487.67672421003
2,1,1692,7153,72,6,10,408975.8635636492
2,1,1752,7589,23,12,5,425064.11286030576
3,1,2054,4607,76,7,4,396003.7327724397
2,2,1583,1400,43,4,6,430992.6220506977
1,1,2846,7042,93,7,1,351299.0762624303
5,3,2671,1362,82,13,3,488462.25122046797
5,2,1294,4851,40,11,7,522917.4765328843
4,2,1546,4412,73,8,8,440068.6046232867
2,1,3284,1084,50,19,9,456708.31808859063
1,3,2654,2824,41,2,1,459047.6948379912
4,2,3192,9499,77,18,4,495743.29447503766
3,2,3397,9822,39,10,2,474993.0600146282
4,1,3388,5775,47,6,2,526095.480458675
4,1,2991,8868,83,4,1,516055.8986599629
2,3,3435,8619,3,19,5,517128.9870210844
3,1,1456,8418,59,14,2,361141.3675491073
4,3,2682,3371,38,14,4,525722.8898646296
1,2,3192,8068,4,18,9,474167.2538900435
1,3,2596,4300,95,17,3,378545.61822499934
5,3,1067,6821,5,18,8,531300.5199242226
3,3,3016,8803,13,18,10,587196.5703548356
3,2,2562,8464,69,5,6,457941.3155497366
5,1,2880,1726,77,9,10,567041.6199553328
4,2,1176,8121,11,1,5,539823.2585344785
3,1,2385,5312,61,4,2,474790.7831930516
1,3,2263,9000,26,7,3,441368.36964239116
1,3,3240,5543,53,11,8,465937.54176003893
2,3,1288,9014,89,14,9,375386.02513064165
3,3,1521,1318,11,10,7,476379.54412481753
4,3,1745,4475,7,19,1,410703.83704671566
5,1,2886,6153,73,8,6,562013.0005941498
5,1,2435,5134,15,3,7,630344.4465732917
4,3,1840,2602,51,8,6,493911.20747149864
2,2,3073,3256,25,18,10,488599.00194789516
5,2,2914,8319,7,5,2,553269.9521670172
3,3,2477,8532,44,11,9,557845.0313825901
2,1,1798,8366,92,9,3,379334.0027206461
3,2,2577,3648,83,19,6,385864.1320685111
1,2,3084,7903,80,12,6,414989.38685559004
2,2,1756,2858,18,5,8,494231.28653289325
5,3,2389,2102,16,16,4,572866.4590152476
2,2,1961,3481,64,13,6,394487.40554587735
2,2,3320,2820,28,6,1,481345.74790066294
2,2,2668,4158,13,16,9,497356.96252899506
2,2,1352,4684,16,18,9,380026.1873274082
3,1,2433,8411,12,17,7,443713.23365425336
1,3,1494,4651,92,12,1,266453.12077212817
4,3,1116,8707,97,1,3,465243.2643509343
2,1,3445,9461,90,7,5,447249.07323635014
5,1,1567,9107,62,14,4,420430.89877994265
2,3,3408,7881,32,18,5,478363.6348964058
5,2,2771,7220,28,1,7,633768.578038183
3,2,3105,5830,36,10,9,599292.698352541
5,3,2303,5979,82,15,1,442307.06535757193
4,2,922,8334,45,11,5,411444.56486562855
1,1,3189,4775,23,4,3,461406.1407270408
5,2,2668,1648,13,15,3,564221.0901440384
5,2,2471,1016,4,16,2,490027.3820266096
1,2,1882,9308,52,15,6,345498.8747892264
4,3,2528,7476,87,17,6,454303.21825673955
2,1,3107,6942,97,11,3,387395.09340871085
5,2,2796,2545,94,18,1,430641.0237706335
1,3,2942,3693,29,16,7,484351.08946705615
3,2,1948,8599,59,15,2,363054.0681509418
1,1,2888,5089,72,11,8,388895.86663852324
3,2,2714,7259,90,13,3,404395.44351531274
4,1,1053,6058,27,18,1,370936.3256174224
2,2,806,4240,25,8,10,406519.8025586936
1,1,2916,5942,17,9,9,476442.8272395576
5,2,1341,4788,35,11,5,466595.4067647013
4,1,888,7953,7,17,1,399802.7213841093
1,2,2738,1371,17,1,10,552219.5190166109
5,2,1012,8020,83,11,6,459252.959026248
1,3,1065,8120,57,7,10,459076.94935582636
3,3,3140,6702,31,8,3,528464.7476227729
1,1,2030,9347,92,19,4,252855.84612865795
1,2,3180,3661,48,4,8,472458.9095538245
1,1,1804,8180,47,4,5,351787.310873529
4,3,2894,7651,81,19,6,470183.8292583452
1,1,1421,9656,70,9,10,375412.43462920655
5,1,1226,5878,64,17,4,409622.83517012617
3,3,1009,5315,91,18,6,345817.8554294151
3,2,1687,7158,32,1,3,466565.78889143484
1,1,2243,9308,49,14,10,418174.03184598533
4,3,953,7474,3,4,1,461097.6629071309
4,2,1214,2374,83,10,6,430457.1642687822
5,3,1980,8393,35,14,1,469531.1109297623
1,1,2084,5403,94,7,10,362910.71820160263
3,2,1568,4546,27,12,3,435485.0491676867
4,2,1782,4977,2,16,8,526385.1052090963
1,3,2311,4411,5,5,7,465690.8655360247
4,3,1378,9988,44,11,8,531239.0408677555
4,3,3010,4892,22,4,10,634636.1840226486
3,2,1838,8324,6,13,10,516519.386810902
2,2,3042,9342,60,8,2,454801.50269234844
5,1,1341,4249,99,7,10,480462.62206542055
5,2,1158,1111,64,11,7,463369.9793671882
3,1,1649,1682,5,11,4,426250.5417273499
4,3,1226,2161,23,17,1,389166.9167771022
1,3,3344,8400,36,14,3,466705.51733913616
4,2,1285,3379,44,2,5,477427.3040663943
3,3,2631,6426,50,8,10,605961.8614781481
5,3,2272,9352,99,2,8,587316.2252492475
4,2,2236,2425,87,15,2,363989.60937524115
5,1,1129,4661,44,5,2,429493.00121565873
1,2,2555,9469,62,6,8,465361.8044314957
5,1,1970,8040,28,17,9,552105.7803767613
5,2,1058,5592,95,8,10,509953.62522780336
2,2,3139,8530,24,19,1,413636.6319908609
2,3,942,4107,9,5,2,392080.1445852639
2,2,2816,1302,34,19,4,379168.5589698453
5,2,1426,5533,54,14,3,440209.7189303945
3,1,2188,3773,24,10,1,474313.6077304373
5,3,889,8199,90,13,4,427524.35260637756
3,1,1519,5281,44,5,2,362945.1868328998
3,1,1280,5768,95,7,10,393153.89741885
2,3,2931,2000,11,10,5,495952.1449538772
4,3,1900,2718,3,11,1,464603.9369971273
1,3,1472,8169,89,3,8,404409.65437664447
2,2,1316,8361,66,13,10,419117.8715254986
2,3,3332,4830,16,2,2,562139.5292330661
4,3,2413,8154,72,4,3,540406.0872729161
1,3,1581,6020,92,3,3,373215.06432617945
5,1,2951,3882,64,15,4,431342.243991779
5,1,2835,1998,81,4,7,510311.38531171717
2,2,3186,1284,52,4,9,527199.6490785202
1,1,1486,9612,83,15,3,278817.996394187
2,2,2389,3160,56,6,1,424465.4589969064
3,1,1699,4065,97,5,10,436224.6044054193
2,3,2301,2494,27,12,1,416799.68134659185
2,1,3454,5623,98,7,6,452513.9340784765
5,2,1022,3543,15,3,5,515353.45653046994
5,1,1876,5800,20,7,10,578372.1284969453
5,3,1900,9913,76,12,7,546884.8044752937
3,2,2541,2401,98,15,7,409155.2275303999
5,3,1302,1445,41,19,3,422679.6818303929
1,3,2139,5522,53,6,7,449676.36488082027
4,2,1423,4767,31,8,9,546895.3453447792
1,3,2686,3551,37,6,8,470251.66682926397
1,3,3012,6646,69,3,3,500934.1723697799
5,1,1850,4888,37,5,10,535754.4536371122
4,3,1893,5816,53,9,5,477742.493466806
4,3,2785,3731,59,16,8,540061.456742883
4,3,2188,8699,76,16,2,455254.9173868418
3,3,2129,3629,76,9,7,431249.5245750378
5,2,1947,8687,46,18,10,500093.45341882284
4,1,818,2057,11,13,10,468017.0702367962
3,3,2080,7834,52,11,7,549112.4846940949
2,3,1845,9949,32,10,8,521253.569524967
2,2,1788,2795,27,10,1,374582.57375920477
3,3,3297,5849,2,6,8,569918.7715481061
3,2,3399,9215,81,16,1,428636.06836052897
5,1,2373,5150,25,12,3,508157.42009116383
5,1,1871,7947,53,4,9,544823.62147293
2,3,3434,7470,39,5,4,518841.9002363351
4,3,2006,8179,65,2,10,583816.1315080347
2,3,2258,4712,67,19,9,401479.47015265096
4,2,2954,6458,91,1,1,537885.2165202181
4,3,2011,6315,91,4,8,556413.6199383454
5,3,1575,6381,88,12,3,456340.815789819
